Label,ID,Name,Education System,Subject,IsRoot,第一層知識,第二層知識,第三層知識,Learning Performance
KnowledgePoint,,數的判斷,Junior High School ,math,TRUE,,,,
KnowledgePoint,,以正負數表示相反的量,Junior High School ,math,FALSE,,,,
KnowledgePoint,,在數線上讀整數點,Junior High School ,math,TRUE,,,,
KnowledgePoint,,利用數線比較數的大小,Junior High School ,math,TRUE,,,,
KnowledgePoint,,三一律,Junior High School ,math,TRUE,,,,
KnowledgePoint,,遞移律,Junior High School ,math,TRUE,,,,
KnowledgePoint,,求相反數,Junior High School ,math,FALSE,,,,
KnowledgePoint,,絕對值的意義,Junior High School ,math,TRUE,,,,
KnowledgePoint,,比較絕對值的大小,Junior High School ,math,FALSE,,,,
KnowledgePoint,,以絕對值符號表示數線上兩點間的距離,Junior High School ,math,FALSE,,,,
KnowledgePoint,,同號數相加,Junior High School ,math,TRUE,,,,
KnowledgePoint,,異號數相加,Junior High School ,math,TRUE,,,,
KnowledgePoint,,與0相加,Junior High School ,math,TRUE,,,,
KnowledgePoint,,加法交換律,Junior High School ,math,TRUE,,,,
KnowledgePoint,,加法結合律,Junior High School ,math,TRUE,,,,
KnowledgePoint,,正數-負數,Junior High School ,math,TRUE,,,,
KnowledgePoint,,負數-正數,Junior High School ,math,TRUE,,,,
KnowledgePoint,,負數-負數,Junior High School ,math,TRUE,,,,
KnowledgePoint,,去括號規則,Junior High School ,math,TRUE,,,,
KnowledgePoint,,數線上兩點的距離,Junior High School ,math,TRUE,,,,
KnowledgePoint,,數線上中點坐標,Junior High School ,math,FALSE,,,,
KnowledgePoint,,整數的乘法,Junior High School ,math,TRUE,,,,
KnowledgePoint,,乘法交換律,Junior High School ,math,TRUE,,,,
KnowledgePoint,,乘法結合律,Junior High School ,math,TRUE,,,,
KnowledgePoint,,整數的除法,Junior High School ,math,TRUE,,,,
KnowledgePoint,,乘法對加減法的分配律,Junior High School ,math,FALSE,,,,
KnowledgePoint,,整數的四則運算,Junior High School ,math,FALSE,,,,
KnowledgePoint,,整數運算的應用問題,Junior High School ,math,FALSE,,,,
KnowledgePoint,,底數為整數的指數記法,Junior High School ,math,FALSE,,,,
KnowledgePoint,,底數為整數的乘方計算,Junior High School ,math,FALSE,,,,
KnowledgePoint,,底數為10的乘方計算,Junior High School ,math,FALSE,,,,
